-1,4,6,6,6,5,5,6,6,5,5,6,6,7,-1,-1
-1,40,41,42,42,42,42,42,148,42,42,42,-2147483607,43,-1,-1
-1,40,36,37,37,37,37,37,1,37,37,73,73,79,-1,-1
-1,40,36,73,73,37,109,1,1,37,37,73,73,79,-1,-1
-1,40,0,73,73,37,37,37,1,37,37,37,73,79,-1,-1
-1,40,0,1,73,73,37,37,1,37,37,37,73,79,-1,-1
-1,40,0,1,1,1,37,37,1,37,37,73,109,79,-1,-1
-1,40,0,1,1,1,1,1,1,1,37,1,1,79,-1,-1
-1,40,0,1,1,1,1,1,1,1,1,1,1,79,-1,-1
-1,40,0,73,73,1,1,1,1,73,73,1,1,79,-1,-1
-1,40,72,73,73,73,1,1,1,73,73,73,1,79,-1,-1
-1,40,72,73,73,73,1,1,1,1,73,73,1,79,-1,-1
-1,76,36,73,73,37,110,1,1,1,1,1,1,79,-1,-1
-1,76,36,37,37,37,37,37,1,1,1,1,1,79,-1,-1
-1,112,113,114,114,113,114,113,113,113,113,113,113,115,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
